N,P,K,temperature,humidity,ph,rainfall,label
107,19,56,28.45,87.55,6.84,20.26,Muskmelon
95,16,53,29.24,82.92,6.1,55.05,Watermelon
34,48,78,21.2,22.88,6.81,84.97,Chickpea
21,66,18,25.48,67.3,5.8,165.64,Pigeonpeas
19,16,32,27.91,85.87,6.31,211.6,Coconut
98,55,34,28.16,78.4,6.75,173.86,Jute
57,59,48,35.33,94.45,6.88,180.8,Papaya
10,9,9,23.74,88.62,6.36,116.74,Orange
21,63,24,21.49,57.34,5.85,103.47,Kidney Beans
93,17,50,27.3,94.71,6.47,29.54,Muskmelon
106,12,49,25.75,86.89,5.68,51.33,Watermelon
90,44,35,22.56,85.02,6.7,215.56,Rice
89,52,36,23.91,89.08,6.25,285.31,Rice
23,21,10,24.57,89.6,6.68,112.3,Orange
94,27,47,30.05,94.53,6.49,21.65,Muskmelon
25,71,17,26.91,51.31,5.52,169.58,Pigeonpeas
95,16,36,28.08,59.23,6.72,159.92,Coffee
34,19,28,24.65,96.41,6.53,174.56,Coconut
34,26,30,27.77,99.08,5.96,165.55,Coconut
34,16,24,26.19,95.04,6.17,166.99,Coconut
20,10,36,25.45,92.44,5.88,185.99,Coconut
88,47,36,25.3,88.13,6.46,250.04,Rice
25,18,7,27.77,89.75,5.94,115.5,Orange
89,38,37,24.12,78.56,6.35,265.16,Rice
51,66,77,18.96,16.09,7.62,63.84,Chickpea
30,129,203,20.98,92.55,6.27,100.28,Apple
79,54,19,24.8,66.93,6.17,99.88,Maize
43,68,77,18.78,16.73,7.15,77.41,Chickpea
76,24,54,30.01,89.95,6.97,57.03,Watermelon
14,59,21,20.54,61.08,5.74,214.86,Pigeonpeas
65,57,27,22.16,62.67,6.64,90.02,Maize
46,81,91,22.28,19.23,7.33,63.98,Chickpea
91,46,42,24.12,80.73,6.88,173.23,Jute
24,139,195,22.46,94.33,5.78,124.38,Apple
124,49,24,26.58,84.85,6.93,63.33,Cotton
25,65,17,32.97,54.32,5.89,174.7,Pigeonpeas
92,44,19,24.04,60.29,6.82,83.19,Maize
18,14,12,27.48,94.17,7.17,103.75,Orange
28,135,204,20.38,96.67,6.3,98.86,Apple
18,20,7,19.77,88.63,7.62,116.36,Orange
45,59,87,22.08,13.63,6.93,90.18,Chickpea
18,69,19,20.97,52.67,5.68,162.67,Pigeonpeas
23,144,203,20.37,88.5,5.56,117.26,Apple
59,52,53,33.96,91.0,6.97,177.58,Papaya
113,49,18,24.19,76.57,6.23,81.75,Cotton
115,58,17,26.54,81.78,7.3,71.99,Cotton
85,43,28,20.21,87.47,7.16,233.77,Rice
21,55,19,21.45,62.98,5.53,113.81,Kidney Beans
45,64,76,19.53,15.69,7.27,101.0,Chickpea
89,47,20,24.63,52.75,6.38,74.77,Maize
54,62,69,19.61,19.16,7.21,94.53,Chickpea
77,37,34,21.51,58.96,7.27,203.96,Coffee
12,27,6,22.03,91.9,7.57,94.1,Orange
94,24,55,29.04,90.65,6.14,22.04,Muskmelon
99,27,43,28.58,87.63,6.36,63.03,Watermelon
100,19,48,27.04,90.22,6.39,20.0,Muskmelon
48,67,80,20.42,17.7,7.68,82.87,Chickpea
127,55,23,25.5,78.84,6.57,97.65,Cotton
29,62,17,19.87,66.29,5.54,125.38,Kidney Beans
59,54,56,36.11,97.56,6.57,138.05,Papaya
90,23,46,24.41,92.71,6.32,20.0,Muskmelon
87,46,40,24.63,84.85,6.2,185.94,Jute
26,17,11,21.52,88.95,6.1,97.34,Orange
69,35,22,31.48,64.96,6.92,86.23,Maize
18,15,5,23.06,91.84,7.06,110.83,Orange
45,75,74,19.08,19.05,7.22,90.73,Chickpea
73,50,31,26.29,75.6,7.2,177.9,Jute
35,61,79,17.57,19.05,7.89,74.2,Chickpea
22,77,22,27.66,68.63,6.16,161.47,Pigeonpeas
102,10,47,24.28,82.81,6.67,49.14,Watermelon
26,11,34,26.53,97.12,6.23,215.37,Coconut
113,22,52,29.81,81.09,7.07,42.28,Watermelon
104,31,27,23.97,56.01,7.34,175.27,Coffee
91,56,20,17.63,61.35,7.15,84.66,Maize
98,12,52,29.05,84.83,6.15,21.54,Muskmelon
14,18,9,17.77,89.93,6.73,108.62,Orange
49,57,54,32.81,96.78,7.14,142.17,Papaya
29,67,15,18.6,59.39,5.73,103.05,Kidney Beans
91,16,40,24.7,81.13,6.69,44.61,Watermelon
47,61,44,35.31,89.71,6.66,177.56,Papaya
119,49,23,26.05,79.05,6.72,86.12,Cotton
101,23,28,26.68,56.74,6.04,170.46,Coffee
24,78,22,20.66,57.4,5.6,126.42,Kidney Beans
57,52,46,36.98,89.71,6.61,191.52,Papaya
30,145,205,20.0,88.33,5.67,131.01,Apple
24,18,9,24.31,89.78,6.66,111.46,Orange
105,15,48,23.04,75.83,6.17,37.44,Watermelon
76,47,46,23.78,75.97,6.8,142.72,Jute
78,39,45,27.26,72.21,7.09,160.41,Jute
93,36,25,21.76,63.9,6.55,181.43,Coffee
19,15,24,26.92,90.58,6.28,181.21,Coconut
111,24,51,25.32,93.62,6.87,31.85,Muskmelon
42,68,73,19.65,13.46,7.78,75.35,Chickpea
95,22,29,25.07,62.8,7.21,170.27,Coffee
30,140,196,18.05,90.51,5.91,111.24,Apple
45,68,78,19.04,18.64,6.83,91.14,Chickpea
21,145,202,23.32,87.5,6.36,130.61,Apple
20,22,17,18.8,91.69,6.33,129.1,Orange
79,45,42,23.23,80.53,6.55,151.23,Jute
100,23,51,29.17,86.99,6.51,21.33,Muskmelon
21,71,22,25.62,59.12,5.9,121.47,Kidney Beans
81,40,18,24.96,55.44,6.72,84.71,Maize
47,67,48,35.29,91.66,6.68,152.45,Papaya
38,52,56,36.62,93.09,6.18,152.83,Papaya
96,31,34,29.76,66.14,7.15,164.88,Coffee
94,44,39,26.75,85.3,6.83,272.64,Rice
25,20,34,27.66,100.0,5.69,142.37,Coconut
107,54,21,23.53,79.29,7.44,88.8,Cotton
17,67,21,26.16,63.11,5.97,150.79,Pigeonpeas
110,48,21,29.19,72.44,7.26,91.68,Cotton
29,62,11,20.06,54.81,5.21,101.44,Kidney Beans
104,19,50,27.86,82.36,6.33,49.9,Watermelon
102,16,55,25.58,81.85,6.57,65.71,Watermelon
22,69,17,21.15,62.23,5.6,122.56,Kidney Beans
27,70,19,22.36,53.42,5.67,169.21,Pigeonpeas
79,48,19,26.89,78.26,6.22,64.45,Maize
74,60,35,22.29,82.94,5.87,170.77,Jute
66,48,42,23.64,74.86,7.29,183.85,Jute
20,67,17,19.98,55.02,5.9,132.88,Kidney Beans
104,47,19,26.25,80.23,7.05,88.44,Cotton
17,14,33,26.11,92.44,5.81,195.38,Coconut
43,56,50,39.67,92.71,6.45,164.41,Papaya
93,57,20,21.74,67.76,6.16,115.2,Maize
93,56,41,24.64,81.7,5.73,239.34,Rice
15,65,20,26.41,53.69,5.76,148.38,Pigeonpeas
22,17,11,22.31,94.0,6.18,105.64,Orange
17,19,10,18.19,86.56,6.92,111.63,Orange
24,80,25,26.55,59.2,5.79,97.25,Kidney Beans
106,38,21,24.57,81.9,7.08,83.19,Cotton
30,26,10,21.27,94.09,6.66,96.12,Orange
8,16,15,21.57,90.53,6.69,96.55,Orange
21,71,20,20.7,55.96,6.69,142.8,Pigeonpeas
81,46,21,19.96,59.17,7.1,75.15,Maize
96,14,49,27.19,97.55,6.05,25.51,Muskmelon
20,49,21,17.09,60.48,5.62,130.19,Kidney Beans
27,127,192,17.87,95.67,5.88,116.89,Apple
94,30,27,26.32,67.13,6.98,207.38,Coffee
15,128,204,23.29,89.96,5.91,107.83,Apple
15,26,30,26.88,96.76,6.29,200.81,Coconut
36,18,34,23.44,99.51,6.23,169.35,Coconut
42,76,42,30.11,95.94,6.91,139.48,Papaya
79,56,46,22.83,75.15,7.04,237.14,Rice
10,19,32,31.13,95.47,6.25,175.7,Coconut
86,49,43,23.95,82.47,7.01,225.21,Rice
86,51,36,20.48,75.77,6.74,207.99,Rice
39,64,64,20.5,13.78,7.4,100.74,Chickpea
48,51,40,36.9,93.63,6.83,178.42,Papaya
104,33,48,24.53,81.61,6.28,249.98,Rice
132,51,13,23.94,77.19,6.99,48.5,Cotton
79,39,33,21.56,86.21,6.12,300.0,Rice
16,77,22,26.06,61.01,5.6,134.36,Pigeonpeas
26,66,12,26.74,54.61,5.4,139.7,Pigeonpeas
19,63,19,33.59,59.81,6.14,121.68,Pigeonpeas
127,55,26,26.69,85.81,6.57,66.12,Cotton
27,21,30,21.09,93.07,5.81,158.48,Coconut
20,19,32,28.42,98.53,6.12,149.74,Coconut
28,130,185,21.1,93.22,6.3,100.94,Apple
76,49,32,25.37,81.81,7.38,161.13,Jute
28,12,25,22.43,92.65,6.23,170.89,Coconut
78,49,25,21.55,67.21,6.3,85.43,Maize
26,75,19,16.31,63.1,5.51,102.16,Kidney Beans
93,25,49,25.99,90.92,6.01,32.17,Muskmelon
109,12,45,28.46,89.83,7.41,27.58,Muskmelon
93,41,43,24.83,85.03,6.86,170.77,Jute
23,19,10,22.19,92.24,6.99,113.21,Orange
112,16,49,32.34,96.33,5.9,26.94,Muskmelon
22,64,20,33.84,49.34,6.45,143.56,Pigeonpeas
36,64,71,19.88,19.34,7.48,96.74,Chickpea
19,59,18,29.82,56.93,5.87,130.1,Pigeonpeas
27,21,39,26.06,91.14,5.85,184.59,Coconut
110,26,35,23.9,55.32,7.02,200.82,Coffee
89,19,57,28.56,94.43,6.73,31.18,Muskmelon
114,53,25,24.2,83.41,6.34,89.06,Cotton
108,30,37,23.66,61.73,6.52,175.15,Coffee
29,130,194,24.04,88.13,5.91,118.94,Apple
25,69,23,31.87,51.62,5.47,151.56,Pigeonpeas
26,124,205,20.77,91.03,6.07,116.24,Apple
93,30,22,27.3,60.97,7.14,164.47,Coffee
20,12,23,25.0,92.23,5.71,191.4,Coconut
113,13,58,27.48,92.11,6.07,21.14,Muskmelon
97,12,55,26.29,81.69,6.38,63.43,Watermelon
70,48,22,26.08,66.06,6.32,72.59,Maize
72,45,25,24.34,56.37,6.96,74.98,Maize
134,53,23,23.07,79.6,6.68,67.93,Cotton
96,20,49,23.82,96.21,6.35,32.26,Watermelon
33,139,205,23.21,86.47,6.39,116.62,Apple
94,47,21,23.48,65.09,5.95,63.4,Maize
37,77,22,21.18,58.94,5.41,121.16,Kidney Beans
104,22,29,23.37,66.14,7.12,133.51,Coffee
45,54,90,15.68,20.1,7.75,69.09,Chickpea
68,39,21,27.14,75.1,6.27,101.18,Maize
26,75,17,22.36,61.0,5.78,139.09,Kidney Beans
21,19,14,25.91,88.11,6.32,116.95,Orange
10,51,19,31.84,45.61,4.6,161.42,Pigeonpeas
32,141,194,20.13,94.02,5.93,91.89,Apple
41,70,78,21.98,12.2,6.97,78.97,Chickpea
89,39,10,26.8,56.8,6.39,67.45,Maize
47,81,72,17.38,13.23,7.21,84.66,Chickpea
120,51,26,24.04,81.62,6.08,51.3,Cotton
90,33,40,20.74,84.68,6.65,216.5,Rice
76,35,42,24.45,83.88,6.26,163.86,Jute
90,20,43,29.21,93.88,5.9,32.75,Muskmelon
10,21,35,23.83,95.53,6.14,178.39,Coconut
26,19,34,26.67,98.61,6.0,181.27,Coconut
104,17,48,29.94,88.76,6.27,54.57,Watermelon
19,70,22,18.99,64.48,5.51,123.8,Kidney Beans
83,39,38,24.92,75.6,7.42,159.64,Jute
23,62,22,21.84,61.58,5.84,96.97,Kidney Beans
50,57,70,36.03,90.77,6.38,122.39,Papaya
99,57,18,20.64,65.85,5.62,89.85,Maize
25,69,18,31.47,53.7,6.01,140.45,Pigeonpeas
35,66,65,19.43,17.0,6.97,86.59,Chickpea
25,60,20,21.2,49.36,5.84,105.3,Kidney Beans
26,145,194,24.0,89.65,5.75,124.82,Apple
23,74,17,29.47,49.86,5.84,124.71,Pigeonpeas
28,81,17,22.18,55.37,5.87,106.22,Kidney Beans
121,44,25,27.08,76.3,6.27,75.37,Cotton
21,133,205,23.1,89.88,5.75,122.88,Apple
94,20,57,27.0,93.6,6.09,37.23,Muskmelon
24,118,203,22.53,92.19,5.93,111.49,Apple
19,13,11,20.45,94.0,7.68,100.56,Orange
24,138,205,23.22,91.0,6.1,120.76,Apple
88,19,56,25.63,78.98,6.75,63.49,Watermelon
18,23,40,26.92,98.75,5.68,203.65,Coconut
17,80,14,32.59,53.65,6.14,151.6,Pigeonpeas
114,53,21,23.03,79.97,7.11,77.74,Cotton
11,15,10,22.56,95.02,6.38,113.13,Orange
110,43,19,22.27,75.13,7.08,64.31,Cotton
49,56,58,34.79,89.65,6.56,182.42,Papaya
97,22,40,25.94,59.54,7.2,155.54,Coffee
22,53,20,28.5,60.1,6.08,161.65,Pigeonpeas
18,25,11,24.02,91.61,6.77,106.84,Orange
17,16,25,25.36,91.14,5.73,211.23,Coconut
68,41,34,26.99,77.21,6.75,168.15,Jute
93,13,49,26.27,94.72,6.52,24.65,Muskmelon
15,48,18,31.35,58.1,5.71,149.55,Pigeonpeas
42,61,59,37.37,92.69,6.6,165.38,Papaya
47,56,60,31.66,94.21,6.53,150.79,Papaya
11,22,18,21.65,97.69,6.69,93.53,Orange
41,70,77,19.54,15.97,7.55,76.3,Chickpea
26,23,10,19.21,88.31,6.84,104.0,Orange
97,18,51,25.99,91.82,6.2,49.49,Watermelon
55,54,44,32.48,92.72,7.15,119.05,Papaya
84,44,39,25.3,76.95,6.78,202.55,Jute
82,46,21,23.11,66.01,7.16,69.9,Maize
104,27,26,24.98,62.69,7.68,171.32,Coffee
23,144,201,23.41,86.68,4.82,118.41,Apple
101,21,46,27.08,93.05,6.5,27.54,Muskmelon
53,61,45,35.82,89.73,6.67,188.94,Papaya
93,19,47,24.61,84.7,6.6,38.51,Watermelon
27,15,10,21.64,88.5,6.67,123.29,Orange
88,50,25,26.02,64.17,5.89,81.86,Maize
19,24,13,19.66,88.5,7.31,96.37,Orange
17,14,9,22.71,90.83,6.71,114.01,Orange
19,72,23,32.26,61.34,6.15,143.7,Pigeonpeas
81,44,41,25.29,84.85,6.05,201.65,Rice
15,15,19,24.15,95.54,5.41,147.41,Coconut
95,28,59,30.99,91.01,7.13,26.84,Muskmelon
22,60,21,30.35,64.17,6.16,165.22,Pigeonpeas
79,45,40,25.15,78.27,7.21,153.95,Jute
21,142,202,16.96,93.29,6.12,115.24,Apple
19,63,19,27.07,62.16,5.29,111.53,Kidney Beans
71,40,37,23.12,77.81,6.61,190.07,Jute
32,74,75,22.44,22.98,6.99,74.5,Chickpea
75,48,43,26.28,73.22,7.1,164.75,Jute
26,134,205,21.79,86.73,5.92,103.33,Apple
102,22,41,27.36,84.97,6.76,57.32,Watermelon
25,135,193,22.16,96.19,6.13,115.37,Apple
109,26,43,22.15,84.02,6.04,50.37,Watermelon
35,77,80,18.98,16.02,7.36,88.25,Chickpea
102,25,39,23.73,61.79,6.97,163.17,Coffee
26,19,6,15.44,92.45,6.71,98.28,Orange
19,55,19,24.36,51.35,5.75,169.16,Pigeonpeas
22,20,31,29.62,94.78,5.94,193.03,Coconut
33,144,205,22.74,88.65,5.99,126.65,Apple
14,67,21,28.61,43.94,5.44,148.72,Pigeonpeas
72,44,24,23.0,62.58,6.02,91.35,Maize
18,61,19,29.72,54.94,5.92,186.27,Pigeonpeas
25,127,198,22.0,87.87,5.86,119.65,Apple
66,38,26,23.37,60.99,7.02,75.92,Maize
22,20,6,21.85,90.18,6.61,121.32,Orange
101,5,48,29.53,90.83,6.26,20.0,Muskmelon
27,127,196,21.65,87.4,5.49,107.79,Apple
82,34,38,24.05,88.71,6.63,234.52,Rice
109,21,49,25.64,93.3,6.73,28.78,Muskmelon
29,145,202,21.49,86.89,5.98,124.88,Apple
24,18,12,21.69,95.22,6.92,101.85,Orange
69,42,47,27.04,78.55,7.04,181.14,Jute
19,58,22,18.63,62.32,5.29,132.72,Kidney Beans
88,45,43,24.44,76.66,6.65,255.26,Rice
22,133,205,23.74,92.68,5.73,103.47,Apple
104,21,46,29.24,95.38,6.37,35.01,Muskmelon
107,12,47,27.76,96.1,6.39,27.25,Muskmelon
14,59,20,24.88,58.08,5.81,110.63,Pigeonpeas
89,21,49,25.13,84.87,6.51,57.16,Watermelon
80,44,47,24.02,74.35,6.49,186.14,Jute
108,29,30,24.74,67.64,6.54,158.88,Coffee
17,19,10,23.28,90.35,6.6,113.45,Orange
46,67,77,19.3,14.49,8.14,63.92,Chickpea
74,47,43,26.93,75.1,7.58,188.81,Jute
52,60,51,32.09,91.83,7.04,162.28,Papaya
24,129,189,20.29,92.59,6.1,116.78,Apple
51,57,51,34.45,90.26,6.43,151.03,Papaya
26,76,21,19.48,62.28,5.56,109.58,Kidney Beans
28,16,15,25.68,91.54,6.07,109.77,Orange
19,68,23,32.45,54.34,5.64,148.88,Pigeonpeas
14,18,5,25.49,94.61,6.93,96.55,Orange
14,72,24,35.95,52.57,6.0,161.4,Pigeonpeas
80,20,58,26.23,80.88,6.35,64.16,Watermelon
112,15,51,26.49,94.53,6.24,24.51,Muskmelon
36,53,31,33.59,88.57,6.72,127.5,Papaya
103,24,37,23.79,66.55,7.27,184.13,Coffee
22,63,19,26.42,50.26,5.8,145.69,Pigeonpeas
21,23,15,20.95,94.4,7.11,122.88,Orange
100,20,45,32.27,90.99,6.31,23.27,Muskmelon
129,49,26,27.05,76.73,6.81,79.43,Cotton
89,47,38,24.92,80.08,6.38,185.42,Jute
23,19,25,26.23,94.38,6.48,134.22,Coconut
111,32,28,23.1,60.29,6.5,175.96,Coffee
95,27,27,24.23,58.82,6.86,182.21,Coffee
84,51,32,27.16,80.15,7.14,173.74,Jute
18,22,7,24.04,90.85,6.5,141.03,Orange
49,82,88,19.17,14.58,6.97,85.23,Chickpea
37,62,69,18.83,12.49,7.6,80.82,Chickpea
102,29,28,26.72,64.77,6.72,196.64,Coffee
29,15,33,26.78,94.45,5.77,216.64,Coconut
20,56,23,21.85,55.31,5.76,104.61,Kidney Beans
32,71,87,18.16,10.0,7.38,84.37,Chickpea
22,114,203,22.14,93.67,5.93,109.83,Apple
12,21,9,24.67,97.59,5.94,101.6,Orange
30,145,205,26.34,89.23,5.75,100.73,Apple
105,17,54,26.8,83.29,6.46,48.81,Watermelon
96,22,51,24.94,88.22,6.25,50.76,Watermelon
117,51,16,25.45,82.76,7.07,56.76,Cotton
96,46,19,22.25,58.91,6.18,66.64,Maize
58,74,52,33.44,95.1,7.14,150.4,Papaya
29,134,200,19.79,91.1,5.77,119.6,Apple
96,14,52,23.65,81.02,6.85,65.21,Watermelon
97,53,42,28.69,78.9,6.0,195.53,Rice
50,55,45,35.0,88.0,6.63,166.66,Papaya
104,20,49,31.66,93.48,6.11,26.24,Muskmelon
103,22,54,25.96,88.74,6.19,29.88,Muskmelon
28,44,20,21.82,64.62,5.4,121.29,Kidney Beans
95,25,57,27.06,90.49,6.1,21.85,Muskmelon
22,20,43,25.01,91.64,5.77,180.71,Coconut
36,79,78,19.58,17.78,7.25,88.11,Chickpea
46,55,74,17.46,14.18,7.63,78.06,Chickpea
108,19,50,27.5,91.37,6.58,26.84,Muskmelon
58,78,69,16.36,18.45,7.52,85.49,Chickpea
108,40,36,22.5,73.5,6.29,221.02,Rice
35,120,205,20.85,90.99,5.9,105.36,Apple
22,23,11,21.05,94.65,6.25,97.02,Orange
35,18,36,27.46,96.5,5.9,184.29,Coconut
110,20,46,26.06,81.42,6.45,45.56,Watermelon
105,16,54,29.92,86.98,6.23,20.72,Muskmelon
21,77,22,25.02,69.91,5.91,175.51,Pigeonpeas
